array size,SelectionSort_small_vals,SelectionSort_big_vals,SelectionSort_almost_sorted,SelectionSort_reversed,BubbleSort_small_vals,BubbleSort_big_vals,BubbleSort_almost_sorted,BubbleSort_reversed,BubbleSortA1_small_vals,BubbleSortA1_big_vals,BubbleSortA1_almost_sorted,BubbleSortA1_reversed,BubbleSortA1&2_small_vals,BubbleSortA1&2_big_vals,BubbleSortA1&2_almost_sorted,BubbleSortA1&2_reversed,InsertionSort_small_vals,InsertionSort_big_vals,InsertionSort_almost_sorted,InsertionSort_reversed,InserionSortB_small_vals,InserionSortB_big_vals,InserionSortB_almost_sorted,InserionSortB_reversed,CountingSort_small_vals,CountingSort_big_vals,CountingSort_almost_sorted,CountingSort_reversed,LSD_small_vals,LSD_big_vals,LSD_almost_sorted,LSD_reversed,MergeSort_small_vals,MergeSort_big_vals,MergeSort_almost_sorted,MergeSort_reversed,QuickSortH_small_vals,QuickSortH_big_vals,QuickSortH_almost_sorted,QuickSortH_reversed,QuickSortL_small_vals,QuickSortL_big_vals,QuickSortL_almost_sorted,QuickSortL_reversed,HeapSort_small_vals,HeapSort_big_vals,HeapSort_almost_sorted,HeapSort_reversed,
100,28,28,43,27,62,64,55,60,60,68,0,72,44,44,0,43,15,17,0,32,20,24,3,38,91,68,69,84,22,19,49,20,170,83,52,61,7,8,5,5,13,7,47,26,17,15,12,19,
200,124,121,105,106,241,247,247,249,233,278,1,296,164,177,1,179,57,65,1,132,73,83,7,154,74,75,91,73,31,40,31,29,105,130,146,113,15,19,90,11,39,18,191,92,36,34,30,44,
300,246,246,245,246,572,568,521,559,536,664,2,664,367,402,2,386,121,140,2,286,148,172,11,349,76,97,73,75,46,44,37,45,175,191,156,192,21,28,16,16,77,28,402,206,49,59,44,71,
400,437,420,418,437,978,1012,1425,988,951,1076,2,1143,620,662,2,686,220,249,3,508,264,302,15,582,163,80,83,93,51,48,57,48,244,292,262,265,29,40,22,22,140,40,754,337,74,80,69,97,
500,673,655,653,655,1706,1503,1532,1492,1435,1715,3,1782,1009,1030,3,1085,326,397,4,793,389,568,20,1001,117,145,97,80,72,62,57,64,303,323,274,335,38,50,28,28,208,50,1139,581,88,101,87,135,
600,977,954,988,944,2113,2162,2773,2147,2064,2372,4,2548,1452,1462,4,1572,467,655,5,1141,553,682,24,1298,87,105,86,100,67,79,66,72,433,373,355,360,45,62,35,35,289,63,1624,822,129,115,106,162,
700,1298,1354,1278,1293,3121,2954,2730,2948,2809,3408,4,3757,1950,2032,5,2119,678,854,6,1552,747,2013,31,1883,155,104,95,114,89,78,94,78,522,1018,478,514,58,78,42,42,423,78,3375,2080,138,143,130,246,
800,3477,1769,2157,1736,4234,4007,3774,4184,3860,4453,5,4743,2584,2727,6,2860,887,1155,7,2822,1050,1447,37,2519,113,99,141,92,100,124,101,367,573,532,487,497,65,88,47,47,524,93,3233,1507,158,194,150,227,
900,2197,2223,2217,2222,4909,5195,4525,4910,4669,5758,11,5791,3107,4272,13,3941,1436,1355,8,2662,1297,1645,41,3078,118,146,114,100,113,105,115,105,668,745,579,593,76,101,56,56,760,102,3787,1860,183,196,215,268,
1000,2735,2737,2646,2732,5853,6054,5834,6215,5925,6786,12,8418,4154,4272,15,4477,1357,1885,9,3386,1571,1942,46,3715,137,114,113,129,117,133,122,112,729,758,635,629,85,109,59,58,787,111,4743,2321,201,209,183,287,
1100,3192,3411,3823,3221,7159,7738,7028,7560,7918,8747,15,8958,5161,5150,16,5397,1650,2040,9,4482,1906,2322,49,4326,125,111,133,110,123,124,118,119,800,845,766,745,89,124,64,63,1007,125,5444,2773,214,232,215,320,
1200,3880,3828,3811,3870,8768,8675,8259,8673,9555,11921,16,11215,5769,6169,17,6273,1909,2275,10,4788,2209,2615,74,5190,110,128,107,116,137,126,134,132,791,1318,907,1018,97,138,73,73,1220,144,6809,3322,271,265,233,458,
1300,4627,4654,4614,4905,10381,10729,10837,11622,10583,11913,17,12745,6886,7244,20,7685,2428,2746,12,5600,2649,3214,63,6235,158,116,114,138,140,136,142,135,896,925,829,998,139,148,80,78,1285,155,7630,3753,259,285,244,389,
1400,5586,5322,5334,5465,11920,12102,12444,12214,12310,14281,18,16758,8602,8361,20,8838,2587,3277,12,6468,3810,3706,69,7289,141,117,136,115,186,150,438,158,1013,968,899,904,120,164,87,87,1583,172,9043,4398,272,300,264,422,
1500,5910,6077,6190,6150,13968,14658,14034,14136,13870,15992,19,17023,10800,9690,22,10519,3145,3740,13,7733,3480,4132,72,8294,128,249,119,114,237,154,178,154,1162,1005,1062,949,123,170,93,93,1701,176,10404,5127,309,336,301,501,
1600,7092,6941,7023,6822,15284,17052,15082,15967,14936,18193,21,18986,10362,10648,22,11681,3447,4087,13,9120,4102,4894,80,9547,176,130,126,144,185,193,174,182,1133,1245,1091,1138,163,192,103,101,2029,192,11787,5824,320,376,311,495,
