array size,SelectionSort_small_vals,SelectionSort_big_vals,SelectionSort_almost_sorted,SelectionSort_reversed,BubbleSort_small_vals,BubbleSort_big_vals,BubbleSort_almost_sorted,BubbleSort_reversed,BubbleSortA1_small_vals,BubbleSortA1_big_vals,BubbleSortA1_almost_sorted,BubbleSortA1_reversed,BubbleSortA1&2_small_vals,BubbleSortA1&2_big_vals,BubbleSortA1&2_almost_sorted,BubbleSortA1&2_reversed,InsertionSort_small_vals,InsertionSort_big_vals,InsertionSort_almost_sorted,InsertionSort_reversed,InserionSortB_small_vals,InserionSortB_big_vals,InserionSortB_almost_sorted,InserionSortB_reversed,CountingSort_small_vals,CountingSort_big_vals,CountingSort_almost_sorted,CountingSort_reversed,LSD_small_vals,LSD_big_vals,LSD_almost_sorted,LSD_reversed,MergeSort_small_vals,MergeSort_big_vals,MergeSort_almost_sorted,MergeSort_reversed,QuickSortH_small_vals,QuickSortH_big_vals,QuickSortH_almost_sorted,QuickSortH_reversed,QuickSortL_small_vals,QuickSortL_big_vals,QuickSortL_almost_sorted,QuickSortL_reversed,HeapSort_small_vals,HeapSort_big_vals,HeapSort_almost_sorted,HeapSort_reversed,
50,8,7,6,7,16,16,14,15,16,19,0,18,11,11,0,11,4,4,0,8,6,7,1,10,105,120,62,69,90,17,16,25,224,25,23,33,4,3,2,2,5,3,22,7,48,12,10,14,
60,10,10,10,10,23,42,20,22,19,27,0,26,14,17,0,15,5,7,0,11,8,10,1,14,74,86,66,68,19,18,83,37,87,25,35,32,4,4,3,3,6,4,23,8,9,8,7,10,
70,14,31,13,13,30,31,27,30,30,33,0,35,21,22,0,21,7,9,0,16,10,13,1,19,84,67,68,144,20,27,26,26,76,39,31,50,5,5,3,3,6,5,104,13,17,18,15,40,
80,18,18,17,18,58,41,35,39,39,43,0,46,27,28,0,28,10,11,0,20,14,16,2,25,69,67,84,76,26,18,19,18,51,45,42,43,5,6,4,3,9,5,29,16,12,11,9,14,
90,23,23,22,22,52,54,47,51,52,60,0,60,35,38,0,36,13,15,0,27,18,21,2,33,73,92,70,85,33,22,24,31,44,64,50,58,6,7,5,4,10,7,45,22,14,14,11,17,
100,28,28,27,28,64,66,58,63,62,70,0,75,43,46,0,45,15,18,0,33,21,24,3,40,98,69,72,87,25,23,34,24,114,66,62,51,7,8,5,5,12,7,59,27,16,16,13,19,
110,34,105,33,34,78,80,70,76,69,91,0,90,50,56,0,54,17,22,1,40,24,30,3,48,74,71,99,80,24,30,25,25,131,51,173,73,8,10,6,5,14,9,60,31,32,30,26,38,
120,40,40,39,40,92,95,83,90,91,100,0,106,62,66,0,64,21,26,1,48,28,35,3,57,117,93,71,81,31,22,30,22,157,76,82,103,9,10,6,6,16,10,76,37,21,19,16,35,
130,47,47,46,47,108,111,97,106,105,123,1,126,72,77,1,76,24,32,1,56,32,42,4,67,94,72,73,89,35,23,31,31,75,90,71,67,10,12,7,7,20,11,88,45,20,23,17,26,
140,54,55,53,54,143,127,113,123,124,142,1,145,84,89,1,88,29,36,1,65,38,48,4,77,79,73,94,72,29,24,40,24,176,103,83,74,11,13,8,7,24,12,96,52,74,46,34,48,
